state,new_listing,title,fr_title,condition,inventory,sku,make,model,description,fr_description,year,finish,price,product_type,subcategory_1,subcategory_2,product_image_1,product_image_2,product_image_3,product_image_4,product_image_5,product_image_6,product_image_7,product_image_8,product_image_9,product_image_10,product_image_11,product_image_12,product_image_13,product_image_14,product_image_15,product_image_16,product_image_17,product_image_18,product_image_19,product_image_20,product_image_21,product_image_22,product_image_23,product_image_24,product_image_25,video_url,offers_enabled,shipping_price,combine_and_save_shipping_price,local_pickup,shipping_profile_name,seller_cost,tax_exempt,upc,upc_does_not_apply,published_at,url,prop_65_warning,fr_prop_65_warning,id,auto_offer_percentage,auto_offer_shipping_price_override,bump_rate,bump_rate_recommendation,sold_as_is,country_of_origin,same_day_shipping_eligible,trigger_combine_and_save_shipping
draft,false,On-Stage Classic Guitar Stand,,Brand New,4,XCG-4,On-Stage,Guitar Stand," On-Stage Classic Guitar Stand <br>Keep a guitar at the ready, safe, and blemish free with our XCG-4 Classic Guitar Stand. The height-adjustable upper yoke and swiveling lower yoke fit any traditionally shaped guitar including acoustic, electric, and bass. Padding on the yokes protects the guitar's finish and a security strap on the upper yoke prevents the guitar from being bumped off the stand. A wide tripod base provides stability and balance for dependable guitar support. For efficient storage and transportation, the base folds down and the lower yoke detaches.<br><p><br>Features:<br></p><ul><li>Application: Holds 1 guitar</li><li>Padding: EVA rubber</li><li>Height Adj.: 19.25"" - 24""</li><li>Leg Housing: Sheet metal</li><li>Tubing: 17mm/22mm</li><li>Color: Black</li></ul>",,"",Classic,19.99,accessories,stands,,https://rvb-img.reverb.com/image/upload/s--drF60J81--/v1636577496/appeiqkw10hthgfdd1wr.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,false,,13.93,false,00659814710256,false,,https://reverb.com/item/46625079-on-stage-classic-guitar-stand,,,46625079,,,,,false,,true,false
draft,false,Apex 950 low impedance dynamic cardioid mic,,Brand New,0,APEX950,Apex,950 low impedance dynamic cardioid mic," Apex 950 low impedance dynamic cardioid mic  <br>This low impedance, dynamic cardioid microphone features popular styling, an on/off switch and is suitable for a wide range of musical and vocal applications. The Apex950 provides good quality at an unbeatable price.<br><p><br>Features:<br></p><ul><li>Dynamic Cardioid Pickup Pattern</li><li>Low Impedance</li><li>On/Off Switch</li></ul><p><br>Specifications:<br></p><ul><li>Type: Dynamic<br></li><li>Element: Moving Coil Dynamic</li><li>Frequency Response: 80Hz - 12kHz</li><li>Sensitivity: -70dB</li><li>Impedance: 600 ohms</li><li>S/N: 50+ dB</li><li>Max SPL: 125dB</li><li>Connection: XLR-M </li></ul>",,"","",24.99,pro-audio,,,https://rvb-img.reverb.com/image/upload/s--P9TgZzM1--/v1636580619/i9kxlprewznn7zl8mrc4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,false,,,false,00840402000969,false,,https://reverb.com/item/46626295-apex-950-low-impedance-dynamic-cardioid-mic,,,46626295,,,,,false,,true,false
live,false,Alabama Mandolin,,Brand New,1,ALM20,Alabama,Alabama Mandolin,Alabama Mandolin  Alabama's Mandolin. Top: Spruce; Back &amp; Sides: Maple; Neck: Maple; Fingerboard: Rosewood; Bridge: Rosewood; Tuning Machine: Chrome Plated; Finish: Tobacco Sunburst.,,"","",269.99,folk-instruments,,,https://rvb-img.reverb.com/image/upload/s--J22GHAOz--/v1636580621/kz845zhkwtdsvdciz7vw.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,true,0.0,,true,,178.74,false,00694970791862,false,2021-11-10T21:51:52Z,https://reverb.com/item/46626296-alabama-mandolin,,,46626296,,,,5.0,false,,true,false
draft,false,"2"" Poly Fender Logo Guitar Strap - White Logo",,Brand New,0,0990662080,Fender,"2"" Poly Logo Guitar Strap - Logo"," 2"" Poly Fender Logo Strap <br>Made from black poly-webbing, these 2"" straps feature the Fender® logo embroidered in your choice of Yellow, Red, White, and Pewter",,"",White,15.99,accessories,straps,,https://rvb-img.reverb.com/image/upload/s--c09ErQ9c--/v1636580648/x2zlluzg7t2ono4l3rmy.jpg,https://rvb-img.reverb.com/image/upload/s--7WQlcGqp--/v1636580652/r4gel1ynvxkndmxhndlh.jpg,https://rvb-img.reverb.com/image/upload/s--jRyoGspN--/v1636580652/dr0smts6lwltpotkwpgi.jpg,https://rvb-img.reverb.com/image/upload/s--wZwD3Iq---/v1636580652/chqibtuvctqk263zh8dn.jpg,https://rvb-img.reverb.com/image/upload/s---i_vya6y--/v1636580652/bgrsszbydihmxr7yueb9.jpg,https://rvb-img.reverb.com/image/upload/s--Z-ExWr4e--/v1636580652/jtinezi4pqrcjxng6qym.jpg,https://rvb-img.reverb.com/image/upload/s--HWFfsf65--/v1636580652/lppawpajdnxtg4qxxawk.jpg,,,,,,,,,,,,,,,,,,,,true,,,false,,4.41,false,00717669495404,false,,https://reverb.com/item/46626323-2-poly-fender-logo-guitar-strap-white-logo,,,46626323,,,,,false,,true,false
draft,false,BeaverCreek 3/4 Size Classical Guitar  | All You Need Music Canada - Natural,,Brand New,0,BCTC601,Beaver Creek,BeaverCreek 3/4 Size Classical Guitar | All You Need Music Canada - Natural, BeaverCreek 3/4 Size Classical Guitar <li>3/4 SIZE BODY</li><li>SPRUCE TOP</li><li>AGATHIS BACK &amp; SIDES</li><li>NATO NECK</li><li>ROSEWOOD FINGERBOARD AND BRIDGE</li>,,"",Classic,169.99,acoustic-guitars,,,https://rvb-img.reverb.com/image/upload/s--bHA_9l5o--/v1636580700/nnkukzfjiqalkcazpagf.jpg,https://rvb-img.reverb.com/image/upload/s--AQSPhiFX--/v1636580704/d92juuppbzd53zxevdkp.jpg,https://rvb-img.reverb.com/image/upload/s--q_dUy1ST--/v1636580704/vwmzx0f1iab6anc7v0fe.jpg,,,,,,,,,,,,,,,,,,,,,,,,true,0.0,,true,FREE Shipping Canada Over $99,99.98,false,00682393000401,false,,https://reverb.com/item/46626339-beavercreek-3-4-size-classical-guitar-all-you-need-music-canada-natural,,,46626339,,,,,false,,true,false
draft,false,Aquila New Nylgut Soprano Regular Set Ukulele Strings - High G,,Brand New,2,4U,Aquila,AQUILA New Nylgut Soprano Regular Set - High G," SOPRANO REGULAR TUNING, Key of C (All Nylgut strings) GCEA All Nylgut® Strings A fundamental aim of Aquila's research has been to make a new synthetic product having the same acoustic properties as gut, but without its typical defects - (high cost, limited duration and high instability under varying climates). The New Nylgut® has precisely these qualities allowing one to rediscover the sonorities familiar to the great 19th and 20th century Uke masters and guaranteeing a stability of tuning higher even than that of the best gut and nylon strings.  <ul><li>Tuning: Key of C – GCEA</li><li>Set composition: NEW NYLGUT®</li></ul>  ",,"",Re,10.99,accessories,ukulele-strings,,https://rvb-img.reverb.com/image/upload/s--LEb-_5kp--/v1636580717/opc0zbsfbsv6cqvnwcdi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,false,,,false,08052405530998,false,,https://reverb.com/item/46626347-aquila-new-nylgut-soprano-regular-set-ukulele-strings-high-g,,,46626347,,,,,false,,true,false
draft,false,UNAVAILABLE Behringer Xenyx 802 8-Input 2-Bus Mixer,,Brand New,0,SKU20503,Behringer,Xenyx 802 8-Input 2-Bus Mixer," Unfortunately this item is no longer available for sale. Behringer Xenyx 802 8-Input 2-Bus Mixer <br>Got a solo gig at the local coffee shop? Need to make a quick public announcement? Simple sound calls for the simply superb XENYX 802, the BEHRINGER mixer with everything you need to give an intimate setting incredible sound. The ultra-compact XENYX 802 mixer’s 8 Inputs (2 mic, 2 stereo + Aux Returns) allow you to effortlessly achieve premium-quality sound, thanks to the 2 studiograde, phantom-powered XENYX Mic Preamps and ultra-musical “British” channel EQ.",,"","",93.99,pro-audio,,,https://rvb-img.reverb.com/image/upload/s--N_2FcAC8--/v1636580717/bogyfeoqofl64cf4b2tu.jpg,https://rvb-img.reverb.com/image/upload/s--hVQnS75f--/v1636580721/dma7lm1yyytdlnptipbf.jpg,,,,,,,,,,,,,,,,,,,,,,,,,true,,,false,,,false,,false,,https://reverb.com/item/46626348-unavailable-behringer-xenyx-802-8-input-2-bus-mixer,,,46626348,,,,,false,,true,false
draft,false,Angel Advanced Class Soprano recorder,,Brand New,1,ASRG600,Angel,Advanced Class Soprano recorder," Angel Advanced Class Soprano recorder  Advanced Class Soprano recorder. Key C, German fingering, ABS resin, 3-piece construction, length = 31cm.",,"","",12.99,folk-instruments,,,https://rvb-img.reverb.com/image/upload/s--hxKopUAc--/v1636580717/od4kj1ssbhr9qwbwqnzw.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,false,,,false,08802418112151,false,,https://reverb.com/item/46626349-angel-advanced-class-soprano-recorder,,,46626349,,,,,false,,true,false
draft,false,D'Addario EJ13 80/20 Bronze Custom Light Acoustic Guitar Strings,,Brand New,8,EJ13,D'Addario,EJ13 80/20 Bronze Light Acoustic Guitar Strings," D'Addario EJ13 80/20 Bronze Custom Light Acoustic Guitar Strings <br>Referred to as Custom Light, EJ13 strings are a D'Addario original hybrid gauge and a comfortable compromise for players who want the depth and projection of light gauge bottom strings, but slightly less tension on the high strings for easy bending.",,"",Custom,9.6,accessories,guitar-strings,,https://rvb-img.reverb.com/image/upload/s--Hz0wxInb--/v1636580748/lyblstjfghur5mqn9cpy.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,true,0.0,,true,FREE Shipping Canada Over $99,6.08,false,00019954961138,false,,https://reverb.com/item/46626359-d-addario-ej13-80-20-bronze-custom-light-acoustic-guitar-strings,,,46626359,,,,,false,,true,false
draft,false,D'Addario EJ16 Phosphor Bronze Light Acoustic Guitar Strings,,Brand New,2,EJ16,D'Addario,EJ16 Light Acoustic Guitar Strings," D'Addario EJ16 Phosphor Bronze Light Acoustic Strings  Gauges: 12-16-24-32-42-53. <p>These acoustic guitar strings feature a computer-controlled wrapping around a hex core. </p><p>D'Addario is the world's largest manufacturer of strings for musical instruments. Many top guitarists won't play any other brand. Regardless of your playing style, D'Addario has a string set that's right for you.</p>",,"",Phosphor Bronze,11.5,accessories,guitar-strings,,https://rvb-img.reverb.com/image/upload/s--nRokzzZc--/v1636580782/ejsfslgaw1usuxmavbdw.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,false,,8.04,false,00019954121143,false,,https://reverb.com/item/46626388-d-addario-ej16-phosphor-bronze-light-acoustic-guitar-strings,,,46626388,,,,,false,,true,false
