School,Website,Principal,Address,Phone,Email
Agnes G. Hodge Public School,https://www.granderie.ca/schools/agnes-g-hodge,Thomas Ro,"52 Clench Avenue, Brantford, ON N3T 1R6",(519) 756-4950,AgnesHodge@granderie.ca
Banbury Heights School,https://www.granderie.ca/schools/banbury,Judy Gardner,"141 Banbury Road, Brantford, ON N3P 1E3",(519) 751-0142 ext. 157000,BanburyHeights@granderie.ca
Bellview Public School,https://www.granderie.ca/schools/bellview,Jill Hughes,"97 Tenth Ave., Brantford, ON N3S 1G5",(519) 752-7414 ext. 101000,Bellview@granderie.ca
Bloomsburg Public School,https://www.granderie.ca/schools/bloomsburg,Grant Mckinnell,"25 Concession 12 Townsend, Waterford, ON N0E 1Y0",519-426-0942,Bloomsburg@granderie.ca
Boston Public School,https://www.granderie.ca/schools/boston,Cynthia Gozzard,"R.R. #1, Waterford, ON N0E 1Y0",(519) 443-5003 ext. 513000,Boston@granderie.ca
Branlyn Community School,https://www.granderie.ca/schools/branlyn,Jennifer Brackenbury,"238 Brantwood Park Road, Brantford, ON N3P 1N9",(519) 759-7240 ext. 156000,Branlyn@granderie.ca
Brier Park Public School,https://www.granderie.ca/schools/brierpark,Christopher Mcgrath,"10 Blackfriar Lane, Brantford, ON N3R 6C5",(519) 759-8682 ext. 106000,BrierPark@granderie.ca
Burford District Elementary School,https://www.granderie.ca/schools/burford,Stewart Schuyler,"35 Alexander Street, Burford, ON N0E 1A0",(519) 449-2457 ext. 104000,Burford@granderie.ca
Caledonia Centennial Public School,https://www.granderie.ca/schools/caledoniacentennial,Colleen Kelly,"110 Shetland St., Caledonia, ON N3W 2H1",(905) 765-4860 ext. 713000,CaledoniaCentennial@granderie.ca
Cedarland Public School,https://www.granderie.ca/schools/cedarland,Gail Ash,"60 Ashgrove Avenue, Brantford, ON N3R 6E5",(519) 752-9610 ext. 108000,Cedarland@granderie.ca
Centennial-Grand Woodlands School,https://www.granderie.ca/schools/centennialgrand,Derek Cherriere,"41 Ellenson Drive, Brantford, ON N3R 3E7",(519)759-4570 ext. 109000,Centennial-Grand@granderie.ca
Central Public School,https://www.granderie.ca/schools/central,Dina Atanas,"135 George Street, Brantford, ON N3T 6B4",(519) 752-8819 ext. 110000,Central@granderie.ca
Cobblestone Elementary School,https://www.granderie.ca/schools/cobblestone,Robert Macdonald,"179 Grandville Circle, Paris, ON N3L 0A9",519-442-2500,Cobblestone@granderie.ca
Courtland Public School,https://www.granderie.ca/schools/courtland,Ryan Tyndall,"1012 Queen Street, Box 245,, Courtland, ON N0J 1E0",519-688-2110,Courtland@granderie.ca
Delhi Public School,https://www.granderie.ca/schools/delhi,Ian Summers,"227 Queen Street, Delhi, ON N4B 2K6",(519) 582-1890 ext. 543000,DelhiPublic@granderie.ca
Echo Place Elementary School,https://www.granderie.ca/schools/echo,Erica Deserranno,"723 Colborne East, Brantford, ON N3S 3R5",(519) 753-2931 ext. 115000,EchoPlace@granderie.ca
Edith Monture Elementary School,https://www.granderie.ca/schools/edithmonture,,"33 Dowden Avenue, Brantford, ON N3T 0A3",(519) 752-8814 ext. 160000,EdithMonture@granderie.ca
École Confédération Elementary School,https://www.granderie.ca/schools/ecole-confederation,Robyn Mullings,"54 Ewing Drive, Brantford, ON N3R 5H8",(519) 751-2891,EcoleConfederation@granderie.ca
École Dufferin Public School,https://www.granderie.ca/schools/dufferin,Israel Segura-Romero,"106 Chestnut Avenue, Brantford, ON N3T 4C6",(519) 752-8232 ext. 114000,Dufferin@granderie.ca
