School Name,Street Address,City,Postal Code,Phone Number,School Website,Principal Name
All Saints CES,130 Castlemore Ave,Unionville,L6C 2P9,905-887-8780,http://ast.ycdsb.ca,Fabio Nardo
Blessed Chiara Badano CES,55 Meridian Drive,Stouffville,L4A 4X5,289-451-2293,http://bcb.ycdsb.ca,Mireille Walter
Blessed Trinity CES,230 Hawker Rd.,Maple,L6A 2R2,905-303-7150,http://bty.ycdsb.ca,Paula Martins
Canadian Martyrs CES,170 London Rd.,Newmarket,L3Y 6R5,905-895-8530,http://cms.ycdsb.ca,Anna Ricciuti-Giustizia
Cardinal Carter CHS,210 Bloomington Rd. W.,Aurora,L4G 0P9,905-727-2455,http://cch.ycdsb.ca,Sabrina Bartolini
Christ the King CES,329 Valleymede Dr.,Richmond Hill,L4B 2E1,905-771-6036,http://ctk.ycdsb.ca,Claudio D'Agostini
Corpus Christi CES,35 Squire Drive,Richmond Hill,L4S 1C6,905-770-8713,http://cci.ycdsb.ca,Ida Evans
Divine Mercy CES,251 Melville Ave,Maple,L6A 1Z1,905-832-2555,http://dmy.ycdsb.ca,Vittoria Iannetta
Father Bressani CHS,250 Ansley Grove Rd.,Woodbridge,L4L 3W4,905-851-6643,http://fbh.ycdsb.ca,Edward Lavor
Father Frederick McGinn CES,61 Brockdale St.,Richmond Hill,L4E 4W2,905-223-8767,http://ffm.ycdsb.ca,Diana Carbone-Colucci
Father Henri Nouwen CES,121 Larratt Lane,Richmond Hill,L4C 0E6,905-884-8086,http://fhn.ycdsb.ca,Robert Caruso
Father John Kelly CES,9350 Keele St.,Maple,L6A 1P4,905-832-5353,http://fjk.ycdsb.ca,Anthony Spatari
Father Michael McGivney CA,5300 - 14th Avenue,Markham,L3S 3K8,905-472-4961,http://fmmh.ycdsb.ca,Camille Robinson
Good Shepherd CES,19112 2nd Concession Road,East Gwillimbury,L9N 0H2,905-895-0303,http://gsd.ycdsb.ca,Mara Damiano
Guardian Angels CES,200 Lawford Road,Vaughan,L4H 0Z5,905-303-5441,http://gna.ycdsb.ca,Angelika Crescenzi
Holy Cross CA,7501 Martin Grove Rd.,Woodbridge,L4L 9E4,905-851-6699,http://hocr.ycdsb.ca,Sandra Abate
